batsman,runs,balls,minutes,fours,sixes,strike_rate,inning,series
Tom Latham ,38,69,100,7,0,55.07,New Zealand 1st Innings,"New Zealand vs Australia, 2nd Test at Christchurch, Mar 08 2024, Australia tour of New Zealand"
Will Young ,14,57,86,1,0,24.56,New Zealand 1st Innings,"New Zealand vs Australia, 2nd Test at Christchurch, Mar 08 2024, Australia tour of New Zealand"
Kane Williamson ,17,37,63,2,0,45.94,New Zealand 1st Innings,"New Zealand vs Australia, 2nd Test at Christchurch, Mar 08 2024, Australia tour of New Zealand"
Rachin Ravindra ,4,9,19,0,0,44.44,New Zealand 1st Innings,"New Zealand vs Australia, 2nd Test at Christchurch, Mar 08 2024, Australia tour of New Zealand"
Daryl Mitchell ,4,13,17,1,0,30.76,New Zealand 1st Innings,"New Zealand vs Australia, 2nd Test at Christchurch, Mar 08 2024, Australia tour of New Zealand"
Tom Blundell †,22,31,46,3,0,70.96,New Zealand 1st Innings,"New Zealand vs Australia, 2nd Test at Christchurch, Mar 08 2024, Australia tour of New Zealand"
Glenn Phillips ,2,8,24,0,0,25.00,New Zealand 1st Innings,"New Zealand vs Australia, 2nd Test at Christchurch, Mar 08 2024, Australia tour of New Zealand"
Scott Kuggeleijn ,0,1,4,0,0,0.00,New Zealand 1st Innings,"New Zealand vs Australia, 2nd Test at Christchurch, Mar 08 2024, Australia tour of New Zealand"
Matt Henry ,29,28,46,5,0,103.57,New Zealand 1st Innings,"New Zealand vs Australia, 2nd Test at Christchurch, Mar 08 2024, Australia tour of New Zealand"
Tim Southee (c),26,20,37,2,1,130.00,New Zealand 1st Innings,"New Zealand vs Australia, 2nd Test at Christchurch, Mar 08 2024, Australia tour of New Zealand"
Ben Sears ,0,0,4,0,0,-,New Zealand 1st Innings,"New Zealand vs Australia, 2nd Test at Christchurch, Mar 08 2024, Australia tour of New Zealand"
Steven Smith ,11,24,34,2,0,45.83,Australia 1st Innings,"New Zealand vs Australia, 2nd Test at Christchurch, Mar 08 2024, Australia tour of New Zealand"
Usman Khawaja ,16,45,58,2,0,35.55,Australia 1st Innings,"New Zealand vs Australia, 2nd Test at Christchurch, Mar 08 2024, Australia tour of New Zealand"
Marnus Labuschagne ,90,147,250,12,0,61.22,Australia 1st Innings,"New Zealand vs Australia, 2nd Test at Christchurch, Mar 08 2024, Australia tour of New Zealand"
Cameron Green ,25,40,63,6,0,62.50,Australia 1st Innings,"New Zealand vs Australia, 2nd Test at Christchurch, Mar 08 2024, Australia tour of New Zealand"
Travis Head ,21,19,26,2,1,110.52,Australia 1st Innings,"New Zealand vs Australia, 2nd Test at Christchurch, Mar 08 2024, Australia tour of New Zealand"
