bowler,over,maiden,runs,wickets,economy,wide,noball,inning,series
Mitchell Starc,12,1,59,3,4.91,1,0,New Zealand 1st Innings,"New Zealand vs Australia, 2nd Test at Christchurch, Mar 08 2024, Australia tour of New Zealand"
Josh Hazlewood,13.2,4,31,5,2.32,0,0,New Zealand 1st Innings,"New Zealand vs Australia, 2nd Test at Christchurch, Mar 08 2024, Australia tour of New Zealand"
Pat Cummins,11,4,35,1,3.18,0,0,New Zealand 1st Innings,"New Zealand vs Australia, 2nd Test at Christchurch, Mar 08 2024, Australia tour of New Zealand"
Nathan Lyon,2,0,6,0,3.00,0,0,New Zealand 1st Innings,"New Zealand vs Australia, 2nd Test at Christchurch, Mar 08 2024, Australia tour of New Zealand"
Mitchell Marsh,3,1,10,0,3.33,0,1,New Zealand 1st Innings,"New Zealand vs Australia, 2nd Test at Christchurch, Mar 08 2024, Australia tour of New Zealand"
Cameron Green,4,0,21,1,5.25,0,0,New Zealand 1st Innings,"New Zealand vs Australia, 2nd Test at Christchurch, Mar 08 2024, Australia tour of New Zealand"
Tim Southee,18,2,68,1,3.77,0,1,Australia 1st Innings,"New Zealand vs Australia, 2nd Test at Christchurch, Mar 08 2024, Australia tour of New Zealand"
Matt Henry,23,4,67,7,2.91,0,0,Australia 1st Innings,"New Zealand vs Australia, 2nd Test at Christchurch, Mar 08 2024, Australia tour of New Zealand"
Ben Sears,16,3,71,1,4.43,0,0,Australia 1st Innings,"New Zealand vs Australia, 2nd Test at Christchurch, Mar 08 2024, Australia tour of New Zealand"
Scott Kuggeleijn,6,1,30,0,5.00,0,0,Australia 1st Innings,"New Zealand vs Australia, 2nd Test at Christchurch, Mar 08 2024, Australia tour of New Zealand"
Glenn Phillips,5,0,14,1,2.80,0,0,Australia 1st Innings,"New Zealand vs Australia, 2nd Test at Christchurch, Mar 08 2024, Australia tour of New Zealand"
Mitchell Starc,22,3,94,1,4.27,2,0,New Zealand 2nd Innings,"New Zealand vs Australia, 2nd Test at Christchurch, Mar 08 2024, Australia tour of New Zealand"
Josh Hazlewood,26,6,70,1,2.69,0,3,New Zealand 2nd Innings,"New Zealand vs Australia, 2nd Test at Christchurch, Mar 08 2024, Australia tour of New Zealand"
Pat Cummins,24,3,62,4,2.58,0,0,New Zealand 2nd Innings,"New Zealand vs Australia, 2nd Test at Christchurch, Mar 08 2024, Australia tour of New Zealand"
Cameron Green,11,2,48,1,4.36,0,0,New Zealand 2nd Innings,"New Zealand vs Australia, 2nd Test at Christchurch, Mar 08 2024, Australia tour of New Zealand"
Nathan Lyon,16.2,1,49,3,3.00,0,0,New Zealand 2nd Innings,"New Zealand vs Australia, 2nd Test at Christchurch, Mar 08 2024, Australia tour of New Zealand"
Mitchell Marsh,6,1,19,0,3.16,0,1,New Zealand 2nd Innings,"New Zealand vs Australia, 2nd Test at Christchurch, Mar 08 2024, Australia tour of New Zealand"
Travis Head,2,0,7,0,3.50,0,0,New Zealand 2nd Innings,"New Zealand vs Australia, 2nd Test at Christchurch, Mar 08 2024, Australia tour of New Zealand"
Marnus Labuschagne,1,0,9,0,9.00,1,1,New Zealand 2nd Innings,"New Zealand vs Australia, 2nd Test at Christchurch, Mar 08 2024, Australia tour of New Zealand"
Tim Southee,14,1,39,1,2.78,0,0,Australia 2nd Innings,"New Zealand vs Australia, 2nd Test at Christchurch, Mar 08 2024, Australia tour of New Zealand"
Matt Henry,19,1,94,2,4.94,0,0,Australia 2nd Innings,"New Zealand vs Australia, 2nd Test at Christchurch, Mar 08 2024, Australia tour of New Zealand"
Ben Sears,17,2,90,4,5.29,0,1,Australia 2nd Innings,"New Zealand vs Australia, 2nd Test at Christchurch, Mar 08 2024, Australia tour of New Zealand"
Glenn Phillips,12,2,27,0,2.25,0,0,Australia 2nd Innings,"New Zealand vs Australia, 2nd Test at Christchurch, Mar 08 2024, Australia tour of New Zealand"
Scott Kuggeleijn,3,1,10,0,3.33,0,0,Australia 2nd Innings,"New Zealand vs Australia, 2nd Test at Christchurch, Mar 08 2024, Australia tour of New Zealand"
Jasprit Bumrah,13,2,51,0,3.92,0,2,England 1st Innings,"India vs England, 5th Test at Dharamsala, Mar 07 2024, England tour of India"
Mohammed Siraj,8,1,24,0,3.00,0,0,England 1st Innings,"India vs England, 5th Test at Dharamsala, Mar 07 2024, England tour of India"
Ravichandran Ashwin,11.4,1,51,4,4.37,0,0,England 1st Innings,"India vs England, 5th Test at Dharamsala, Mar 07 2024, England tour of India"
Kuldeep Yadav,15,1,72,5,4.80,0,0,England 1st Innings,"India vs England, 5th Test at Dharamsala, Mar 07 2024, England tour of India"
Ravindra Jadeja,10,2,17,1,1.70,0,0,England 1st Innings,"India vs England, 5th Test at Dharamsala, Mar 07 2024, England tour of India"
James Anderson,16,2,60,2,3.75,0,1,India 1st Innings,"India vs England, 5th Test at Dharamsala, Mar 07 2024, England tour of India"
Mark Wood,15,1,89,0,5.93,0,0,India 1st Innings,"India vs England, 5th Test at Dharamsala, Mar 07 2024, England tour of India"
Tom Hartley,39,3,126,2,3.23,0,0,India 1st Innings,"India vs England, 5th Test at Dharamsala, Mar 07 2024, England tour of India"
Shoaib Bashir,46.1,5,173,5,3.74,0,0,India 1st Innings,"India vs England, 5th Test at Dharamsala, Mar 07 2024, England tour of India"
Ben Stokes,5,1,17,1,3.40,0,1,India 1st Innings,"India vs England, 5th Test at Dharamsala, Mar 07 2024, England tour of India"
Joe Root,3,0,8,0,2.66,0,0,India 1st Innings,"India vs England, 5th Test at Dharamsala, Mar 07 2024, England tour of India"
Jasprit Bumrah,10,2,38,2,3.80,0,1,England 2nd Innings,"India vs England, 5th Test at Dharamsala, Mar 07 2024, England tour of India"
